Car_ID,Brand,Model,Car_Type,Year,Fuel_Type,Transmission,Mileage,Engine_cc,Power_HP,Seats,Color,Price_INR,Condition,Owner_Type,Insurance_Status,Registration_City,Service_History,Accident_History,Car_Availability
1,MG,Hector,SUV,2006,Diesel,Automatic,12.67,3150,60,7,Green,2392431,New,2nd,Valid,North Gina,No,No,Sold
2,Volkswagen,Virtus,Sedan,2022,EV,Manual,11.99,4260,315,5,Blue,3452980,New,1st,Expired,Sarafort,No,Yes,Available
3,Audi,e-tron,EV,2018,Petrol,Automatic,19.16,2234,401,8,White,418522,Used,1st,Expired,North Nancytown,No,Yes,Sold
4,Renault,Triber,Sedan,2012,CNG,Manual,14.28,1265,353,8,Black,798467,New,2nd,Valid,North Victoriahaven,No,Yes,Sold
5,Mahindra,Marazzo EV,MPV,2008,CNG,Automatic,22.6,4566,318,8,Red,1842332,New,3rd,Valid,North Bethanyville,Yes,No,Available
6,Skoda,Slavia,Sedan,2013,CNG,Manual,20.68,4488,85,8,Black,4301395,New,3rd,Valid,Jamieberg,Yes,Yes,Available
7,Nissan,Micra,Hatchback,2023,Diesel,Automatic,23.05,2544,269,5,White,1603907,Used,1st,Expired,East Johnchester,No,Yes,Available
8,Mahindra,XUV700,SUV,2010,Petrol,Manual,23.02,3089,443,5,Silver,1861561,Used,2nd,Expired,West Jennifer,Yes,Yes,Sold
9,Honda,Odyssey,MPV,2009,Petrol,Automatic,13.34,4893,251,2,Grey,1787863,New,1st,Valid,Claudiatown,Yes,No,Sold
10,Renault,Triber,Sedan,2007,Petrol,Automatic,13.12,3095,232,4,Red,3102569,Used,2nd,Expired,Port Mia,Yes,No,Available
11,Audi,e-tron,EV,2017,Petrol,Automatic,13.76,4648,251,8,Green,4844598,New,3rd,Expired,Sarahside,No,No,Available
12,Toyota,Corolla,Sedan,2018,Diesel,Automatic,24.4,3994,389,5,Silver,2212458,Used,3rd,Expired,Sarahside,Yes,No,Sold
13,Tata,Nexon,SUV,2019,CNG,Manual,23.94,3774,231,7,Silver,4865353,New,1st,Expired,South Monica,Yes,Yes,Available
14,Skoda,Fabia,Hatchback,2022,EV,Manual,21.43,1347,229,2,Green,3278007,Used,2nd,Valid,South Carloshaven,Yes,Yes,Available
15,Audi,Q5,SUV,2010,Diesel,Automatic,14.66,4495,246,7,White,2553504,Used,1st,Expired,Daniellehaven,No,Yes,Available
16,Tata,Tigor EV,EV,2022,CNG,Automatic,10.03,1429,446,8,Green,3556079,New,2nd,Valid,South Carloshaven,Yes,Yes,Available
17,Toyota,Yaris,Sedan,2020,EV,Automatic,24.91,2999,349,4,Silver,2650667,Used,1st,Valid,North Nancytown,Yes,Yes,Sold
18,Audi,A3,Sedan,2012,Diesel,Manual,24.44,4479,123,8,Blue,1723063,New,1st,Expired,New Michelleshire,Yes,Yes,Available
19,MG,ZS EV Hatch,Hatchback,2007,Petrol,Automatic,19.99,1693,424,4,Red,3447941,New,2nd,Valid,Velazquezmouth,No,No,Sold
20,Honda,Honda e,EV,2006,CNG,Manual,17.21,4829,222,5,Blue,2000568,Used,3rd,Expired,North Mary,Yes,Yes,Sold
21,Volkswagen,Virtus,Sedan,2016,Petrol,Automatic,19.85,3360,139,2,Grey,4653349,Used,1st,Valid,Sarahside,No,Yes,Sold
22,Nissan,Leaf,EV,2024,EV,Automatic,21.2,4552,232,4,Grey,1565579,New,2nd,Expired,Jennifermouth,No,Yes,Available
23,Honda,WR-V,SUV,2018,Diesel,Manual,13.48,4047,351,8,Red,1526619,New,2nd,Expired,New Billymouth,Yes,Yes,Sold
24,Mahindra,Marazzo EV,MPV,2006,EV,Manual,12.45,1450,223,7,Silver,2945991,New,1st,Expired,North Mary,No,No,Sold
25,BMW,i4,EV,2012,CNG,Manual,20.56,936,76,4,Silver,4857240,New,3rd,Valid,Sarahside,Yes,Yes,Sold
26,MG,ZS EV Hatch,Hatchback,2010,Diesel,Automatic,18.85,4849,186,7,Blue,2008532,Used,3rd,Expired,New Michelleshire,No,No,Available
27,Mahindra,Thar,SUV,2019,Diesel,Automatic,11.89,3666,104,7,Green,653540,New,1st,Valid,Claudiatown,No,No,Sold
28,Audi,A5 Cabriolet,Convertible,2020,Diesel,Automatic,13.98,3348,103,5,White,4910692,New,3rd,Valid,North Nancytown,Yes,Yes,Sold
29,Audi,A6,Sedan,2023,Petrol,Manual,15.83,4062,70,5,Grey,1412404,Used,2nd,Expired,Lake Brian,Yes,Yes,Sold
30,Toyota,Glanza,Hatchback,2022,Diesel,Automatic,17.12,3986,325,8,Silver,2379844,Used,3rd,Valid,Shawnshire,Yes,Yes,Sold
31,Tata,Tiago,Hatchback,2016,Petrol,Automatic,17.54,2249,121,7,Silver,4850133,Used,1st,Valid,Stephaniemouth,No,Yes,Available
32,Skoda,Slavia,Sedan,2015,CNG,Manual,18.88,4753,225,5,White,4959450,New,1st,Valid,South Monica,Yes,No,Sold
33,Maruti,Ertiga,MPV,2012,EV,Manual,11.09,2822,353,5,Grey,1237178,New,1st,Valid,Shawnshire,Yes,Yes,Available
34,Mahindra,XUV500,SUV,2008,Petrol,Automatic,18.44,2437,345,8,Black,3917847,Used,3rd,Expired,New Josephshire,No,No,Sold
35,Ford,Tourneo,MPV,2017,CNG,Manual,21.83,3457,177,5,Red,2168305,Used,2nd,Expired,Velazquezmouth,Yes,No,Sold
